,Vid_nr,Subtlety,Color,StartPos,Motivator,Vid_names,Iter_nr,ID
41,41,150,Gr,L,Chase,chase__pred_subt150_Grey_Posx_350_1.webm,v1,150_Gr_L_Chase_v1
42,42,150,Gr,R,Chase,chase_pred_subt150_Grey_Posx_850.webm,v0,150_Gr_R_Chase_v0
43,43,150,Gr,R,Chase,chase__pred_subt150_Grey_Posx_850_1.webm,v1,150_Gr_R_Chase_v1
44,44,150,Bl,L,Chase,chase_pred_subt150_Black_Posx_350.webm,v0,150_Bl_L_Chase_v0
45,45,150,Bl,L,Chase,chase__pred_subt150_Black_Posx_350_1.webm,v1,150_Bl_L_Chase_v1
46,46,150,Bl,R,Chase,chase_pred_subt150_Black_Posx_850.webm,v0,150_Bl_R_Chase_v0
47,47,150,Bl,R,Chase,chase__pred_subt150_Black_Posx_850_1.webm,v1,150_Bl_R_Chase_v1
48,48,0,Gr,L,Mimic,mimic_flipped_pred_subt0_Grey_Posx_350_ind*.webm,v0,0_Gr_L_Mimic_v0
49,49,0,Gr,L,Mimic,mimic_flipped__pred_subt0_Grey_Posx_350_ind*.webm,v1,0_Gr_L_Mimic_v1
50,50,0,Gr,R,Mimic,mimic_flipped_pred_subt0_Grey_Posx_850_ind*.webm,v0,0_Gr_R_Mimic_v0
51,51,0,Gr,R,Mimic,mimic_flipped__pred_subt0_Grey_Posx_850_ind*.webm,v1,0_Gr_R_Mimic_v1
52,52,0,Bl,L,Mimic,mimic_flipped_pred_subt0_Black_Posx_350_ind*.webm,v0,0_Bl_L_Mimic_v0
53,53,0,Bl,L,Mimic,mimic_flipped__pred_subt0_Black_Posx_350_ind*.webm,v1,0_Bl_L_Mimic_v1
54,54,0,Bl,R,Mimic,mimic_flipped_pred_subt0_Black_Posx_850_ind*.webm,v0,0_Bl_R_Mimic_v0
55,55,0,Bl,R,Mimic,mimic_flipped__pred_subt0_Black_Posx_850_ind*.webm,v1,0_Bl_R_Mimic_v1
56,56,30,Gr,L,Mimic,mimic_flipped_pred_subt30_Grey_Posx_350_ind*.webm,v0,30_Gr_L_Mimic_v0
57,57,30,Gr,L,Mimic,mimic_flipped__pred_subt30_Grey_Posx_350_ind*.webm,v1,30_Gr_L_Mimic_v1
58,58,30,Gr,R,Mimic,mimic_flipped_pred_subt30_Grey_Posx_850_ind*.webm,v0,30_Gr_R_Mimic_v0
59,59,30,Gr,R,Mimic,mimic_flipped__pred_subt30_Grey_Posx_850_ind*.webm,v1,30_Gr_R_Mimic_v1
60,60,30,Bl,L,Mimic,mimic_flipped_pred_subt30_Black_Posx_350_ind*.webm,v0,30_Bl_L_Mimic_v0
